Datasets,nih_xrays_dataset,montgomery_xrays_dataset,japan_xrays_dataset,china_xrays_dataset,darwinlungs,u4_dataset,u5_dataset,Average
nih_xrays_dataset,0.927829992,0.764972594,0.915722639,0.819570103,0.776580327,0.845249793,0.786350748,0.833753742
montgomery_xrays_dataset,0.899958768,0.845159132,0.892696029,0.773381636,0.711809732,0.822943108,0.727621998,0.810510058
japan_xrays_dataset,0.879174524,0.838986216,0.9526976,0.635139415,0.644648288,0.759980556,0.66105798,0.767383511
china_xrays_dataset,0.890457981,0.184951738,0.756781418,0.830371744,0.733378459,0.733439896,0.7333872,0.694681205
darwinlungs,0.827961992,0.772321754,0.849270933,0.821079781,0.94345248,0.821938163,0.926163195,0.851741185
u4_dataset,0.93437311,0.822999687,0.961325892,0.876676102,0.765483739,0.894994451,0.784600507,0.862921927
u5_dataset,0.902713588,0.879235903,0.917645108,0.892028729,0.947224923,0.897388715,0.940134133,0.910910157
,,,,,,,,
,,,,,,,,
,,,,,,,,
Average,0.894638565,0.729803861,0.89230566,0.806892501,0.788939707,0.825133526,0.794187966,
